AIRPORT_ID,CITY_MARKET_ID,Abriv
10139,30139,ABL
10170,30070,ADQ
10241,30241,AKI
10299,30299,ANC
10304,30304,ANI
10313,30313,ANV
10405,30405,ATT
10416,30416,AUK
10551,30113,BET
10640,30640,BKC
10754,30107,BRW
16390,36390,BVU
10923,30923,CDL
10996,30996,CHU
11028,31028,CKD
11227,31227,CYF
11411,31411,DRG
11492,31492,EEK
11535,31535,ELI
11550,31550,EMK
11555,31555,ENA
11630,31517,FAI
11844,31844,GAL
11845,31845,GAM
11941,31941,GLV
11952,31952,GNU
12087,32087,HCR
12184,30009,HOM
12195,32195,HPB
12268,32268,IAN
12676,32676,KGX
12704,32704,KKA
12708,32708,KKH
12709,32709,KKI
12719,32719,KLG
12737,32737,KMO
12769,32769,KOT
12779,32779,KPN
12807,32807,KSM
12822,32822,KTS
12831,32831,KUK
12844,32844,KVL
12851,32851,KWK
12853,32853,KWN
12855,32855,KWT
13196,33196,MCG
13369,33369,MLL
13434,33434,MOU
13579,33579,MYU
13676,33676,NIB
13710,33710,NME
13770,33770,NUP
13806,33806,OBU
13873,33873,OME
13894,33894,OOK
13942,33942,ORV
13970,33970,OTZ
14102,34102,PHO
14130,34130,PKA
14234,34234,PQS
14282,31406,PTU
14485,34485,RDB
14493,34493,RDV
14627,34627,RSH
14709,30073,SCC
14718,34718,SCM
14804,34804,SHG
14805,34805,SHH
14816,34816,SHX
14856,34856,SKK
14880,34880,SLQ
14895,34895,SMK
14987,34987,SRV
15049,35049,SVA
15085,35085,SXP
15245,35245,TLA
15257,35257,TLT
15282,35282,TNK
15478,35478,UNK
15554,35554,VAK
15709,35709,WAA
15721,35721,WBB
15785,30020,WLK
15794,35794,WMO
15798,35798,WNA
15861,31464,WTK
15862,35862,WTL
15887,35887,WWT
16311,36311,ZNC
10135,30135,ABE
10693,30693,BNA
10721,30721,BOS
10821,30852,BWI
11057,31057,CLT
11193,33105,CVG
11298,30194,DFW
11540,30615,ELP
12892,32575,LAX
13244,33244,MEM
13495,33495,MSY
13891,32575,ONT
14057,34057,PDX
14107,30466,PHX
14716,34716,SCK
14747,30559,SEA
14853,33214,SKF
15016,31123,STL
15370,34653,TUL
10031,30031,A18
10184,30184,AET
10247,30247,AKP
10349,30349,ARC
10775,30775,BTI
10783,30783,BTT
10834,30834,BYA
10938,30938,CEM
11007,31007,CIK
11214,31214,CXF
11280,31280,DCK
11463,31463,EAA
11833,31833,FYU
12141,32141,HKB
12214,32214,HSL
12235,32235,HUS
12370,32370,IRC
12615,32615,KAL
12621,32621,KBC
12868,32868,KYU
13028,30032,LNI
13292,33016,MHM
13381,33381,MLY
13768,33768,NUL
14474,34474,RBY
14551,34551,RLU
14559,34559,RMP
15061,35061,SVS
15124,35124,TAL
15339,35339,TSG
15472,35472,UMT
15581,35581,VEE
15725,35725,WBQ
15731,35731,WCR
10140,30140,ABQ
10158,30158,ACY
10257,30257,ALB
10423,30423,AUS
10529,30529,BDL
10581,30581,BGR
10785,30785,BTV
10800,32575,BUR
10874,30647,CAK
10994,30994,CHS
11042,30647,CLE
11252,31252,DAB
11278,30852,DCA
11618,31703,EWR
11697,32467,FLL
12197,31703,HPN
12264,30852,IAD
12451,31136,JAX
12478,31703,JFK
12889,32211,LAS
12954,32575,LGB
13204,31454,MCO
13303,32467,MIA
13541,33541,MVY
13930,30977,ORD
13933,33933,ORH
14027,34027,PBI
14307,30721,PVD
14321,34321,PWM
14524,34524,RIC
14576,34576,ROC
14679,33570,SAN
14685,34685,SAV
14771,32457,SFO
14843,34819,SJU
14869,34614,SLC
14986,34986,SRQ
15070,31703,SWF
15304,33195,TPA
10155,30155,ACT
10469,30469,AZO
11433,31295,DTW
12278,30928,ICT
12339,32337,IND
13487,31650,MSP
13871,33316,OMA
14683,33214,SAT
15376,30436,TUS
12173,32134,HNL
12492,32492,JHM
12758,32758,KOA
13034,33034,LNY
13347,33347,MKK
13830,33830,OGG
10204,30204,AGN
11545,31545,ELV
11619,31619,EXI
11997,31997,GST
12171,32171,HNH
12175,31402,HNS
12523,32523,JNU
12610,32610,KAE
12728,30007,KLW
14028,34028,PBK
14062,34062,PEC
14256,34256,PSG
14797,34797,SGY
14828,34828,SIT
15231,35231,TKE
15841,35841,WRG
15991,35991,YAK
10165,30165,ADK
10237,30237,AKB
10245,30245,AKN
10917,30082,CDB
10926,30913,CDV
11336,31336,DLG
11445,31445,DUT
11511,31511,EGX
12321,32321,ILI
12653,32653,KEK
12755,32755,KNW
12819,31401,KTN
13629,31501,NCN
13704,33704,NLG
14273,34273,PTH
14738,34738,SDP
14919,34919,SNP
15012,35012,STG
15171,35171,TEK
15293,35293,TOG
15700,35700,VZY
11036,31036,CKX
11245,31245,CZN
15236,35236,TKJ
13467,30299,MRI
14863,34863,SKW
15406,35406,TYE
15934,35934,XWA
11292,30325,DEN
10154,30154,ACK
10198,30198,AGC
10309,30309,ANP
10504,30504,BBX
10535,30535,BDR
10540,30540,BED
10613,30613,BID
10647,30647,BKL
10670,30670,BLM
10792,30792,BUF
10815,30815,BVY
11423,31423,DSM
11456,31364,DXR
11493,31493,EEN
11615,31615,EWB
11675,31672,FID
11728,31728,FOK
11764,31764,FRG
11883,31883,GED
12222,32222,HTO
12244,32244,HVN
12250,32250,HYA
12320,32320,ILG
12391,31703,ISP
12397,32397,ITH
12916,32916,LCI
12932,32932,LEB
13121,33121,LWB
13125,33125,LWM
16526,36516,MA4
13198,33198,MCI
13232,30977,MDW
16503,36495,ME2
16540,36526,ME3
13398,33398,MMU
13447,33447,MPR
13505,30852,MTN
13507,33507,MTP
13535,33535,MVL
13685,33685,NJ1
13731,33731,NPT
16498,36488,NY7
13832,33832,OGS
13884,33783,ONH
13987,33987,OXC
14044,34044,PCT
14050,30397,PDK
14100,34100,PHL
14122,30198,PIT
14182,34100,PNE
14259,34259,PSM
14306,34306,PVC
14320,30977,PWK
14488,34488,RDG
14648,34648,RUT
14711,34711,SCE
14730,33044,SDF
15043,31123,SUS
15167,35167,TEB
15356,35356,TTN
15427,35427,UBF
16528,34524,VA5
15656,35656,VWK
15879,30414,WVL
16361,36361,ZZV
13767,33767,NUI
10009,30009,09A
10042,30042,A29
10056,30056,A43
10089,30089,A76
10243,30243,AKK
10278,30278,ALZ
12721,32721,KLN
12772,32772,KOZ
12785,32785,KPY
12866,32866,KYK
12869,32869,KZB
13714,33714,NNK
13863,33863,OLH
13934,33934,ORI
14855,34855,SKJ
15091,35091,SYB
11643,31517,FBK
11859,31859,GBH
14013,34013,PAQ
14218,34218,PPC
15086,35086,SXQ
15579,35579,VDZ
10112,30112,A99
10225,30225,AIN
10396,30396,ATK
13111,33111,LUR
14125,34125,PIZ
15278,35278,TNC
10194,30194,AFW
10434,30434,AVP
11315,31315,DIK
11375,31375,DOV
11503,31503,EGE
12389,32389,ISN
14397,30397,QMA
14492,34492,RDU
12544,32544,USA
16091,31295,YIP
10171,30194,ADS
10397,30397,ATL
10747,30747,BRO
10980,30980,CHA
11049,31049,CLL
11058,31058,CLU
11267,31267,DAY
11415,31335,DRT
11603,31603,EUG
11871,31871,GDC
11995,31995,GSO
11996,31871,GSP
12149,32149,HKY
12155,32155,HLM
12878,32878,LAF
12992,32600,LIT
13061,33038,LRD
13256,33256,MFE
13296,30721,MHT
13342,33342,MKE
13788,31136,NZC
14512,34512,RFD
15008,32556,STC
15054,35054,SVH
15096,35096,SYR
15153,35153,TCL
10185,30185,AEX
10431,30431,AVL
10466,30466,AZA
11109,30189,COS
11487,30299,EDF
11726,31726,FOE
11823,31823,FWA
11982,31982,GRK
12365,32365,IPT
12448,32448,JAN
13461,33461,MQY
14112,33195,PIE
14831,32457,SJC
15108,35108,SZL
15412,35412,TYS
15570,35570,VCV
10327,30327,APC
10372,30372,ASE
10857,30857,C01
11098,31098,COE
11165,31165,CTH
11259,30194,DAL
11637,31637,FAR
12136,32136,HIO
12191,31453,HOU
12343,32343,INL
13029,33029,LNK
13429,33429,MOP
13476,34922,MRY
13771,33771,NUQ
13796,32457,OAK
13936,31454,ORL
14091,30011,PGS
14262,34262,PSP
14314,34314,PVU
14487,33792,RDD
14572,34572,RNT
14674,34674,SAF
14689,34689,SBA
14712,30466,SCF
14713,34713,SCH
14736,33570,SDM
14877,34877,SLN
14898,32575,SMO
14908,32575,SNA
15618,32575,VNY
15919,31834,XNA
11003,31003,CID
12206,32206,HRL
12266,31453,IAH
10208,30208,AGS
10408,30408,ATW
10559,30559,BFI
10599,30599,BHM
10620,30620,BIL
10713,30713,BOI
10849,30849,BZN
10868,30868,CAE
11066,31066,CMH
11122,31122,CPR
11123,31123,CPS
11150,31150,CSG
11337,31337,DLH
11481,31481,ECP
11721,31721,FNT
11775,31775,FSD
