CITY_NAME,Abriviation,CITY_MARKET_ID,WAC,
Ambler,ABL,30139,1,
Kodiak,ADQ,30070,1,
Akiak,AKI,30241,1,
Anchorage,ANC,30299,1,
Aniak,ANI,30304,1,
Anvik,ANV,30313,1,
Atmautluak,ATT,30405,1,
Alakanuk,AUK,30416,1,
Bethel,BET,30113,1,
Buckland,BKC,30640,1,
Barrow,BRW,30107,1,
Beluga,BVU,36390,1,
Candle,CDL,30923,1,
Chuathbaluk,CHU,30996,1,
Crooked Creek,CKD,31028,1,
Chefornak,CYF,31227,1,
Deering,DRG,31411,1,
Eek,EEK,31492,1,
Elim,ELI,31535,1,
Emmonak,EMK,31550,1,
Kenai,ENA,31555,1,
Fairbanks,FAI,31517,1,
Galena,GAL,31844,1,
Gambell,GAM,31845,1,
Golovin,GLV,31941,1,
Goodnews Bay,GNU,31952,1,
Holy Cross,HCR,32087,1,
Homer,HOM,30009,1,
Hooper Bay,HPB,32195,1,
Kiana,IAN,32268,1,
Grayling,KGX,32676,1,
Koyuk,KKA,32704,1,
Kongiganak,KKH,32708,1,
Akiachak,KKI,32709,1,
Kalskag,KLG,32719,1,
Manokotak,KMO,32737,1,
Kotlik,KOT,32769,1,
Kipnuk,KPN,32779,1,
St. Mary's,KSM,32807,1,
Brevig Mission,KTS,32822,1,
Kasigluk,KUK,32831,1,
Kivalina,KVL,32844,1,
Kwigillingok,KWK,32851,1,
Quinhagak,KWN,32853,1,
Kwethluk,KWT,32855,1,
McGrath,MCG,33196,1,
Marshall,MLL,33369,1,
Mountain Village,MOU,33434,1,
Mekoryuk,MYU,33579,1,
Nikolai,NIB,33676,1,
Nightmute,NME,33710,1,
Nunapitchuk,NUP,33770,1,
Kobuk,OBU,33806,1,
Nome,OME,33873,1,
Toksook,OOK,33894,1,
Noorvik,ORV,33942,1,
Kotzebue,OTZ,33970,1,
Point Hope,PHO,34102,1,
Napaskiak,PKA,34130,1,
Pilot Station,PQS,34234,1,
Platinum,PTU,31406,1,
Red Dog,RDB,34485,1,
Red Devil,RDV,34493,1,
Russian Mission,RSH,34627,1,
Deadhorse,SCC,30073,1,
Scammon Bay,SCM,34718,1,
Shungnak,SHG,34804,1,
Shishmaref,SHH,34805,1,
Shageluk,SHX,34816,1,
Shaktoolik,SKK,34856,1,
Sleetmute,SLQ,34880,1,
St. Michael,SMK,34895,1,
Stony River,SRV,34987,1,
Savoonga,SVA,35049,1,
Sheldon Point,SXP,35085,1,
Teller,TLA,35245,1,
Tuluksak,TLT,35257,1,
Tununak,TNK,35282,1,
Unalakleet,UNK,35478,1,
Chevak,VAK,35554,1,
Wales,WAA,35709,1,
Stebbins,WBB,35721,1,
Selawik,WLK,30020,1,
White Mountain,WMO,35794,1,
Napakiak,WNA,35798,1,
Noatak,WTK,31464,1,
Tuntutuliak,WTL,35862,1,
Newtok,WWT,35887,1,
Nyac,ZNC,36311,1,
Allentown/Bethlehem/Easton,ABE,30135,23,
Nashville,BNA,30693,54,
Boston,BOS,30721,13,
Baltimore,BWI,30852,35,
Charlotte,CLT,31057,36,
Cincinnati,CVG,33105,52,
Dallas/Fort Worth,DFW,30194,74,
El Paso,ELP,30615,74,
Los Angeles,LAX,32575,91,
Memphis,MEM,33244,54,
New Orleans,MSY,33495,72,
Ontario,ONT,32575,91,
Portland,PDX,34057,92,
Phoenix,PHX,30466,81,
Stockton,SCK,34716,91,
Seattle,SEA,30559,93,
San Antonio,SKF,33214,74,
St. Louis,STL,31123,64,
Tulsa,TUL,34653,73,
Kantishna,A18,30031,1,
Allakaket,AET,30184,1,
Anaktuvuk Pass,AKP,30247,1,
Arctic Village,ARC,30349,1,
Barter Island,BTI,30775,1,
Bettles,BTT,30783,1,
Boundary,BYA,30834,1,
Central,CEM,30938,1,
Chalkyitsik,CIK,31007,1,
Coldfoot,CXF,31214,1,
Dahl Creek,DCK,31280,1,
Eagle,EAA,31463,1,
Fort Yukon,FYU,31833,1,
Healy,HKB,32141,1,
Huslia,HSL,32214,1,
Hughes,HUS,32235,1,
Circle,IRC,32370,1,
Kaltag,KAL,32615,1,
Birch Creek,KBC,32621,1,
Koyukuk,KYU,32868,1,
Lonely,LNI,30032,1,
Minchumina,MHM,33016,1,
Manley Hot Springs,MLY,33381,1,
Nulato,NUL,33768,1,
Ruby,RBY,34474,1,
Bornite/Ruby Creek,RLU,34551,1,
Rampart,RMP,34559,1,
Stevens Village,SVS,35061,1,
Tanana,TAL,35124,1,
Tanacross,TSG,35339,1,
Umiat,UMT,35472,1,
Venetie,VEE,35581,1,
Beaver,WBQ,35725,1,
Chandalar,WCR,35731,1,
Albuquerque,ABQ,30140,86,
Atlantic City,ACY,30158,21,
Albany,ALB,30257,22,
Austin,AUS,30423,74,
Hartford,BDL,30529,11,
Bangor,BGR,30581,12,
Burlington,BTV,30785,16,
Burbank,BUR,32575,91,
Akron,CAK,30647,44,
Charleston,CHS,30994,37,
Cleveland,CLE,30647,44,
Daytona Beach,DAB,31252,33,
Washington,DCA,30852,38,
Newark,EWR,31703,21,
Fort Lauderdale,FLL,32467,33,
White Plains,HPN,31703,22,
Washington,IAD,30852,38,
Jacksonville,JAX,31136,33,
New York,JFK,31703,22,
Las Vegas,LAS,32211,85,
Long Beach,LGB,32575,91,
Orlando,MCO,31454,33,
Miami,MIA,32467,33,
Martha's Vineyard,MVY,33541,13,
Chicago,ORD,30977,41,
Worcester,ORH,33933,13,
West Palm Beach/Palm Beach,PBI,34027,33,
Providence,PVD,30721,15,
Portland,PWM,34321,12,
Richmond,RIC,34524,38,
Rochester,ROC,34576,22,
San Diego,SAN,33570,91,
Savannah,SAV,34685,34,
San Francisco,SFO,32457,91,
San Juan,SJU,34819,3,
Salt Lake City,SLC,34614,87,
Sarasota/Bradenton,SRQ,34986,33,
Newburgh/Poughkeepsie,SWF,31703,22,
Tampa,TPA,33195,33,
Waco,ACT,30155,74,
Kalamazoo,AZO,30469,43,
Detroit,DTW,31295,43,
Wichita,ICT,30928,62,
Indianapolis,IND,32337,42,
Minneapolis,MSP,31650,63,
Omaha,OMA,33316,65,
San Antonio,SAT,33214,74,
Tucson,TUS,30436,81,
Honolulu,HNL,32134,2,
Kapalua,JHM,32492,2,
Kona,KOA,32758,2,
Lanai,LNY,33034,2,
Hoolehua,MKK,33347,2,
Kahului,OGG,33830,2,
Angoon,AGN,30204,1,
Elfin Cove,ELV,31545,1,
Excursion Inlet,EXI,31619,1,
Gustavus,GST,31997,1,
Hoonah,HNH,32171,1,
Haines,HNS,31402,1,
Juneau,JNU,32523,1,
Kake,KAE,32610,1,
Klawock,KLW,30007,1,
Pack Creek,PBK,34028,1,
Pelican,PEC,34062,1,
Petersburg,PSG,34256,1,
Skagway,SGY,34797,1,
Sitka,SIT,34828,1,
Tenakee,TKE,35231,1,
Wrangell,WRG,35841,1,
Yakutat,YAK,35991,1,
Adak Island,ADK,30165,1,
Atka,AKB,30237,1,
King Salmon,AKN,30245,1,
Cold Bay,CDB,30082,1,
Cordova,CDV,30913,1,
Dillingham,DLG,31336,1,
Unalaska,DUT,31445,1,
Egegik,EGX,31511,1,
Iliamna,ILI,32321,1,
Ekwok,KEK,32653,1,
New Stuyahok,KNW,32755,1,
Ketchikan,KTN,31401,1,
Chenega,NCN,31501,1,
Nelson Lagoon,NLG,33704,1,
Port Heiden,PTH,34273,1,
Sandpoint,SDP,34738,1,
St. Paul,SNP,34919,1,
St. George Island,STG,35012,1,
Tatitlek,TEK,35171,1,
Togiak,TOG,35293,1,
Katmai Lodge,VZY,35700,1,
Chicken,CKX,31036,1,
Chisana,CZN,31245,1,
Tok,TKJ,35236,1,
Anchorage,MRI,30299,1,
Skwentna,SKW,34863,1,
Tyonek,TYE,35406,1,
Granite Point,XWA,35934,1,
Denver,DEN,30325,82,
Nantucket,ACK,30154,13,
Pittsburgh,AGC,30198,23,
Annapolis,ANP,30309,35,
Blue Bell,BBX,30504,23,
Bridgeport,BDR,30535,11,
Bedford,BED,30540,13,
Block Island,BID,30613,15,
Cleveland,BKL,30647,44,
Belmar/Farmingdale,BLM,30670,21,
Buffalo,BUF,30792,22,
Beverly,BVY,30815,13,
Des Moines,DSM,31423,61,
Danbury,DXR,31364,11,
Keene,EEN,31493,14,
New Bedford/Fall River,EWB,31615,13,
Fishers Island,FID,31672,22,
Westhampton,FOK,31728,22,
East Farmingdale,FRG,31764,22,
Georgetown,GED,31883,31,
East Hampton,HTO,32222,22,
New Haven,HVN,32244,11,
Hyannis,HYA,32250,13,
Wilmington,ILG,32320,31,
Islip,ISP,31703,22,
Ithaca/Cortland,ITH,32397,22,
Laconia,LCI,32916,14,
Lebanon-Hanover,LEB,32932,14,
Lewisburg,LWB,33121,39,
Lawrence,LWM,33125,13,
Marshfield,MA4,36516,13,
Kansas City,MCI,33198,64,
Chicago,MDW,30977,41,
Islesboro,ME2,36495,12,
Belfast,ME3,36526,12,
Morristown,MMU,33398,21,
McPherson,MPR,33447,62,
Baltimore,MTN,30852,35,
Montauk Point,MTP,33507,22,
Morrisville,MVL,33535,16,
Berlin,NJ1,33685,21,
Newport,NPT,33731,15,
Skaneateles,NY7,36488,22,
Ogdensburg,OGS,33832,22,
Oneonta,ONH,33783,22,
Waterbury,OXC,33987,11,
Princeton,PCT,34044,21,
Atlanta,PDK,30397,34,
Philadelphia,PHL,34100,23,
Pittsburgh,PIT,30198,23,
Philadelphia,PNE,34100,23,
Portsmouth,PSM,34259,14,
Provincetown,PVC,34306,13,
Chicago,PWK,30977,41,
Reading,RDG,34488,23,
Rutland,RUT,34648,16,
State College,SCE,34711,23,
Louisville,SDF,33044,52,
St. Louis,SUS,31123,64,
Teterboro,TEB,35167,21,
Trenton,TTN,35356,21,
Chatham,UBF,35427,13,
Richmond,VA5,34524,38,
Saratoga Springs,VWK,35656,22,
Augusta/Waterville,WVL,30414,12,
Zanesville,ZZV,36361,44,
Nuiqsut,NUI,33767,1,
Homer,09A,30009,1,
Kiluda Bay,A29,30042,1,
Kodiak Island,A43,30056,1,
Red Fox Bay,A76,30089,1,
Akhiok,AKK,30243,1,
Lazy Bay,ALZ,30278,1,
Larsen Bay,KLN,32721,1,
Ouzinkie,KOZ,32772,1,
Port Bailey,KPY,32785,1,
Karluk,KYK,32866,1,
Zachar Bay,KZB,32869,1,
Naknek,NNK,33714,1,
Old Harbor,OLH,33863,1,
Port Lions,ORI,33934,1,
Sitkinak,SKJ,34855,1,
Seal Bay,SYB,35091,1,
Fairbanks,FBK,31517,1,
Galbraith Lake,GBH,31859,1,
Palmer,PAQ,34013,1,
Prospect Creek,PPC,34218,1,
Soldotna,SXQ,35086,1,
Valdez,VDZ,35579,1,
Eagle Creek,A99,30112,1,
Wainwright,AIN,30225,1,
Atqasuk,ATK,30396,1,
Cape Lisburne,LUR,33111,1,
Point Lay,PIZ,34125,1,
Tin City,TNC,35278,1,
Dallas/Fort Worth,AFW,30194,74,
Scranton/Wilkes-Barre,AVP,30434,23,
Dickinson,DIK,31315,66,
Dover,DOV,31375,31,
Eagle,EGE,31503,82,
Williston,ISN,32389,66,
Kennesaw,QMA,30397,34,
Raleigh/Durham,RDU,34492,36,
CONCORD,USA,32544,36,
Detroit,YIP,31295,43,
Dallas,ADS,30194,74,
Atlanta,ATL,30397,34,
Brownsville,BRO,30747,74,
Chattanooga,CHA,30980,54,
College Station/Bryan,CLL,31049,74,
Columbus,CLU,31058,42,
Dayton,DAY,31267,44,
Del Rio,DRT,31335,74,
Eugene,EUG,31603,92,
Greenville,GDC,31871,37,
Greensboro/High Point,GSO,31995,36,
Greer,GSP,31871,37,
Hickory,HKY,32149,36,
Holland,HLM,32155,43,
Lafayette,LAF,32878,42,
Little Rock,LIT,32600,71,
Laredo,LRD,33038,74,
Mission/McAllen/Edinburg,MFE,33256,74,
Manchester,MHT,30721,14,
Milwaukee,MKE,33342,45,
Jacksonville,NZC,31136,33,
Rockford,RFD,34512,41,
St. Cloud,STC,32556,63,
Statesville,SVH,35054,36,
Syracuse,SYR,35096,22,
Tuscaloosa,TCL,35153,51,
Alexandria,AEX,30185,72,
Asheville,AVL,30431,36,
Phoenix,AZA,30466,81,
Colorado Springs,COS,30189,82,
Anchorage,EDF,30299,1,
Topeka,FOE,31726,62,
Fort Wayne,FWA,31823,42,
Killeen,GRK,31982,74,
Williamsport,IPT,32365,23,
Jackson/Vicksburg,JAN,32448,53,
Smyrna,MQY,33461,54,
St. Petersburg,PIE,33195,33,
San Jose,SJC,32457,91,
Knob Noster,SZL,35108,64,
Knoxville,TYS,35412,54,
Victorville,VCV,35570,91,
Napa,APC,30327,91,
Aspen,ASE,30372,82,
Camarillo,C01,30857,91,
Coeur d'Alene,COE,31098,83,
Coatesville,CTH,31165,23,
Dallas,DAL,30194,74,
Fargo,FAR,31637,66,
Hillsboro,HIO,32136,92,
Houston,HOU,31453,74,
International Falls,INL,32343,63,
Lincoln,LNK,33029,65,
Mount Pleasant,MOP,33429,43,
Monterey,MRY,34922,91,
Mountain View,NUQ,33771,91,
Oakland,OAK,32457,91,
Orlando,ORL,31454,33,
Peach Springs,PGS,30011,81,
Palm Springs,PSP,34262,91,
Provo,PVU,34314,87,
Redding,RDD,33792,91,
Renton,RNT,34572,93,
Santa Fe,SAF,34674,86,
Santa Barbara,SBA,34689,91,
Phoenix,SCF,30466,81,
Schenectady,SCH,34713,22,
San Diego,SDM,33570,91,
Salina,SLN,34877,62,
Santa Monica,SMO,32575,91,
Santa Ana,SNA,32575,91,
Van Nuys,VNY,32575,91,
Fayetteville,XNA,31834,71,
Cedar Rapids/Iowa City,CID,31003,61,
Harlingen/San Benito,HRL,32206,74,
Houston,IAH,31453,74,
Augusta,AGS,30208,34,
Appleton,ATW,30408,45,
Seattle,BFI,30559,93,
Birmingham,BHM,30599,51,
Billings,BIL,30620,84,
Boise,BOI,30713,83,
Bozeman,BZN,30849,84,
Columbia,CAE,30868,37,
Columbus,CMH,31066,44,
Casper,CPR,31122,88,
St. Louis,CPS,31123,64,
Columbus,CSG,31150,34,
Duluth,DLH,31337,63,
Panama City,ECP,31481,33,
Flint,FNT,31721,43,
Sioux Falls,FSD,31775,67,
Dallas/Fort Worth,FTW,30194,74,
Spokane,GEG,31884,93,
Green Bay,GRB,31977,45,
Grand Rapids,GRR,31986,43,
Huntsville,HSV,30255,51,
New York,LGA,31703,22,
Lihue,LIH,32982,2,
Harrisburg,MDT,32070,23,
Kansas City,MKC,33198,64,
Melbourne,MLB,33360,33,
Mobile,MOB,30562,51,
Madison,MSN,33485,45,
Ogden,OGD,32131,87,
Oklahoma City,OKC,33851,73,
Norfolk,ORF,33667,38,
Pensacola,PNS,33728,33,
Reno,RNO,34570,85,
Rochester,RST,32547,63,
Fort Myers,RSW,31714,33,
South Bend,SBN,34696,42,
Tallahassee,TLH,35249,33,
Toledo,TOL,35165,44,
Twin Falls,TWF,35389,83,
Valparaiso,VPS,31504,33,
Elmira/Corning,ELM,31537,22,
Springfield,SGF,34783,64,
Traverse City,TVC,35380,43,
Arlington,JZT,32598,74,
Pontiac,PTK,34275,43,
El Paso,BIF,30615,74,
Fairbanks,EIL,31517,1,
Niagara Falls,IAG,32265,22,
Lexington,LEX,32945,52,
Gastonia,NC1,33619,36,
Norfolk,NGU,33667,38,
Owensboro,OWB,33983,52,
Sanford,SFB,34761,33,
Shreveport,SHV,30476,72,
Akun,7AK,36553,1,
Clarks Point,CLP,31053,1,
Cape Romanzof,CZF,31241,1,
Cape Newenham,EHM,31512,1,
Igiugig,IGG,32294,1,
Nikolski,IKO,32315,1,
Chignik Bay,KCG,32631,1,
Chignik Lagoon,KCL,32631,1,
Chignik,KCQ,32631,1,
False Pass,KFP,32663,1,
Koliganek,KGK,32671,1,
Levelock,KLL,32720,1,
Perryville,KPV,32784,1,
King Cove,KVC,32841,1,
Lime Village,LVD,33115,1,
Portage Creek,PCA,34037,1,
Pilot Point,PIP,34119,1,
Port Moller,PML,34167,1,
Twin Hills,TWA,35385,1,
Ugashik,UGS,34464,1,
South Naknek,WSN,35853,1,
Flat,FLT,31702,1,
Farewell,FWL,31825,1,
Craig,CGA,30961,1,
Dora Bay,DOF,31367,1,
Edna Bay,EDA,31484,1,
Hydaburg,HYG,32252,1,
Hollis,HYL,32253,1,
Coffman Cove,KCC,32633,1,
Point Baker,KPB,32773,1,
Thorne Bay,KTB,32815,1,
Waterfall,KWF,32847,1,
Long Island,LIJ,32983,1,
Metlakatla,MTM,33504,1,
Naukiti,NKI,33693,1,
Port Protection,PPV,34229,1,
Ketchikan,WFB,31401,1,
Hyder,WHD,35754,1,
Whale Pass,WWP,35885,1,
Chomondely Sound,ZXH,36340,1,
Abilene,ABI,30136,74,
Scottsbluff,BFF,30558,65,
Corpus Christi,CRP,31140,74,
Jackson,JAC,32441,88,
Sacramento,SMF,33192,91,
Amarillo,AMA,30279,74,
Baton Rouge,BTR,30781,72,
Cheyenne,CYS,31233,88,
Gulfport/Biloxi,GPT,31973,53,
Lubbock,LBB,32896,74,
Midland/Odessa,MAF,33158,74,
Chatham,CYM,31230,1,
Funter Bay Alaska,FNR,31720,1,
Peach Springs,1G4,30011,81,
Bryce Canyon,BCE,30511,87,
Boulder City,BLD,30661,85,
Whitmore,DQS,31399,81,
Murrieta/Temecula,F70,31627,91,
Grand Canyon,GCN,30463,81,
Kingman,IGM,32297,81,
Kanab,KNB,32745,87,
Marble Canyon,L41,33572,81,
Kayenta,MVM,33536,81,
Page,PGA,34081,81,
Monument Valley,UXR,35532,87,
Key West,EYW,31624,33,
Culebra,CPX,31126,3,
Ceiba,JRV,33743,3,
San Juan,SIG,34819,3,
Vieques,VQS,35626,3,
Denver,APA,30325,82,
Carlsbad,CLD,31041,91,
Chicago,DPA,30977,41,
Iowa City,IOW,32358,61,
Latrobe,LBE,32898,23,
Olympia,OLM,33865,93,
Miami,OPF,32467,33,
Pellston,PLN,34150,43,
Poughkeepsie,POU,34212,22,
Sugar Land,SGR,34792,74,
Springfield,SPI,34952,41,
Sun Valley/Hailey/Ketchum,SUN,35041,83,
Waukegan,UGN,35447,41,
Leesburg,VA4,35548,38,
Vero Beach,VRB,35628,33,
Wichita,IAB,30928,62,
Everett,PAE,34004,93,
Guam,GUM,32016,5,
Bellingham,BLI,30666,93,
Decatur Island,DTR,31431,93,
Eastsound,ESD,31588,93,
Friday Harbor,FBS,31646,93,
Friday Harbor,FRD,31646,93,
Kenmore,KEH,30559,93,
Seattle,LKE,30559,93,
Lopez Island,LPS,33055,93,
Roche Harbor,RCE,34477,93,
Pago Pago,PPG,34222,5,
Chandler,CHD,30982,81,
Hilo,ITO,32402,2,
Oscoda,OSC,33947,43,
Charleston/Dunbar,CRW,31146,39,
Fayetteville,FAY,31641,36,
Wilmington,ILM,32323,36,
Myrtle Beach,MYR,31135,37,
Jacksonville/Camp Lejeune,OAJ,33795,36,
Greenville,PGV,34092,36,
Roanoke,ROA,34574,38,
Youngstown/Warren,YNG,36133,44,
Belleville,BLV,30676,41,
Fort Jefferson,RBN,34470,33,
Mosinee,CWA,30424,45,
Eau Claire,EAU,31471,45,
Wendover,ENV,31563,87,
Fayetteville,FYV,31834,71,
Grand Junction,GJT,31921,82,
Gainesville,GNV,31953,33,
Medford,MFR,33264,92,
Missoula,MSO,33486,84,
Pasco/Kennewick/Richland,PSC,34252,93,
Ponce,PSE,34254,3,
Athens,AHN,30216,34,
Fort Pierce,FPR,31732,33,
Brooksville,JZQ,32595,33,
Baranof,BNF,30697,1,
Port Alexander,PTD,34270,1,
Anchorage,DQL,30299,1,
Kulik Lake,LKK,33003,1,
Brooks Lodge,RBH,34468,1,
Ocala,OCF,33809,33,
Alpine,A20,30033,1,
Hot Springs,HOT,32190,71,
Columbus,LCK,31066,44,
Shemya,SYA,35090,1,
Bowling Green,BWG,30819,52,
Crestview,CEW,30947,33,
Destin,DSI,31421,33,
Durant,DUA,31434,73,
Elizabeth City,ECG,31479,36,
Fort Myers,FMY,31714,33,
Fort Lauderdale,FXE,32467,33,
Ashland,HTS,32223,39,
Johnstown,JST,32559,23,
Manistee/Ludington,MBL,33182,43,
Manassas,MNZ,33418,38,
New Orleans,NEW,33495,72,
Oxnard/Ventura,OXR,33988,91,
Punta Gorda,PGD,34082,33,
Sherman-Denison,PNX,34194,74,
Rockland,RKD,34539,12,
Sioux City,SUX,35048,61,
Nashville,TN8,30693,54,
Bristol/Johnson City/Kingsport,TRI,35323,54,
Tupelo,TUP,35374,53,
St. Augustine,UST,35497,33,
Victoria,VCT,35569,74,
Bismarck/Mandan,BIS,30627,66,
Fort Collins/Loveland,FNL,31719,82,
Grand Island,GRI,31980,65,
Bullhead City,IFP,30590,81,
La Crosse,LSE,33076,45,
Macon,MCN,33155,34,
Moline,MLI,33367,41,
Minot,MOT,33304,66,
Montrose/Delta,MTJ,33502,82,
Peoria,PIA,34108,41,
Pueblo,PUB,34288,82,
Rapid City,RAP,34457,67,
Waterloo,ALO,30268,61,
Anniston,ANB,30298,51,
Columbia,COU,32474,64,
Gadsden,GAD,31840,51,
London/Corbin,LOZ,33046,52,
Muncie/Anderson/Newcastle,MIE,33307,42,
Roxboro,TDF,35163,36,
Cocoa Beach,COF,31099,33,
Honolulu,HIK,32134,2,
Mojave,MHV,33297,91,
Jacksonville,NIP,31136,33,
Fairfield,SUU,35045,91,
Guam,UAM,32016,5,
Fort Dix,WRI,35842,21,
Sacramento,MHR,33192,91,
Gary,GYY,30977,42,
Ganes Creek,GEK,31885,1,
Takotna,TCT,35160,1,
Tatalina,TLJ,35250,1,
Wasilla,WWA,35849,1,
Little Squaw,05A,30005,1,
Yukon Charley Rivvers,A63,30076,1,
Fairbanks1,A6K,36699,1,
Minto,MNT,33415,1,
Utopia,UTO,35504,1,
Illinois Creek,ZXF,36339,1,
Charlottesville,CHO,30990,38,
Montgomery,MGM,33277,51,
Saltery Cove,ZXM,36345,1,
Arcata/Eureka,ACV,30157,91,
Bar Harbor,BHB,30589,12,
Crescent City,CEC,30930,91,
Dodge City,DDC,31283,62,
Kearney,EAR,31468,65,
North Platte,LBF,32899,65,
Liberal,LBL,32902,62,
Klamath Falls,LMT,33024,92,
North Bend/Coos Bay,OTH,33964,92,
Plattsburgh,PBG,34025,22,
Presque Isle/Houlton,PQI,34231,12,
Kokhanok,KNK,32748,1,
Nondalton,NNL,33715,1,
Pedro Bay,PDB,34046,1,
Port Alsworth,PTA,34268,1,
Keyes Point,QQB,34412,1,
Rota,ROP,34582,5,
Saipan,SPN,34955,5,
Tinian,TIQ,35215,5,
Roswell,ROW,34588,86,
Hallo Bay,A03,30016,1,
Chinitna Bay,A72,30085,1,
