ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM
AK,2,Alaska
PA,42,Pennsylvania
TN,47,Tennessee
MA,25,Massachusetts
MD,24,Maryland
NC,37,North Carolina
KY,21,Kentucky
TX,48,Texas
CA,6,California
LA,22,Louisiana
OR,41,Oregon
AZ,4,Arizona
WA,53,Washington
MO,29,Missouri
OK,40,Oklahoma
NM,35,New Mexico
NJ,34,New Jersey
NY,36,New York
CT,9,Connecticut
ME,23,Maine
VT,50,Vermont
OH,39,Ohio
SC,45,South Carolina
FL,12,Florida
VA,51,Virginia
NV,32,Nevada
IL,17,Illinois
RI,44,Rhode Island
GA,13,Georgia
PR,72,Puerto Rico
UT,49,Utah
MI,26,Michigan
KS,20,Kansas
IN,18,Indiana
MN,27,Minnesota
NE,31,Nebraska
HI,15,Hawaii
CO,8,Colorado
IA,19,Iowa
NH,33,New Hampshire
DE,10,Delaware
WV,54,West Virginia
ND,38,North Dakota
AR,5,Arkansas
WI,55,Wisconsin
AL,1,Alabama
MS,28,Mississippi
ID,16,Idaho
MT,30,Montana
WY,56,Wyoming
SD,46,South Dakota
TT,75,U.S. Pacific Trust Territories and Possessions
VI,78,U.S. Virgin Islands
